Service Point,zipCode,rate,buildingType,meterCount,squareFt
-1266,78733,E-RES,MOHO DOUBLE REAL,84,116503.0
-1265,78733,E-RES,DUPLEX,70,103753.5
-1264,78733,E-RES,"1 FAM DWELLING, GARAGE APARTMENT",27,78197.2890625
-1263,78733,E-RES,"1 FAM DWELLING, ACCESSORY DWELLING UNIT",75,218610.234375
-1262,78732,E-RES,TOWNHOMES,26,4660.0
-1261,78732,E-SEC1,SINGLE FAMILY,36,91153.3046875
-1260,78732,E-RES,SINGLE FAMILY,4698,13926839.0
-1259,78732,E-RES,"1 FAM DWELLING, ACCESSORY DWELLING UNIT",26,84553.0
-1258,78731,E-SEC2,TOWNHOMES,2,1984.0
-1257,78731,E-SEC1,TOWNHOMES,30,28312.416015625
-1256,78731,E-RES,TOWNHOMES,739,1079925.75
-1255,78731,E-SEC2,SM OFFICE CONDO,2,215.375
-1254,78731,E-SEC1,SM OFFICE CONDO,86,21021.375
-1253,78731,E-SEC1,SINGLE FAMILY,52,94993.0
-1252,78731,E-RES,SINGLE FAMILY,6451,16640143.0
-1251,78731,E-SEC2,OFFICE MED 10-35,22,286555.65625
-1250,78731,E-SEC1,OFFICE MED 10-35,18,22420.333984375
-1249,78731,E-SEC2,OFFICE LG >35000,27,836252.625
-1248,78731,E-SEC1,OFFICE LG >35000,4,58961.0
-1247,78731,E-SEC2,OFFICE (SMALL),18,55999.16796875
-1246,78731,E-SEC2,MULTIFAMILY,16,334926.4375
-1245,78731,E-SEC1,MULTIFAMILY,285,2843917.0
-1244,78731,E-RES,MULTIFAMILY,3840,3614903.5
-1243,78731,E-RES,DUPLEX,422,545167.5
-1242,78731,E-SEC1,CONDO (STACKED),1,540.0
-1241,78731,E-RES,CONDO (STACKED),310,269822.0
-1240,78731,E-RES,"1 FAM DWELLING, GARAGE APARTMENT",24,53628.0
-1239,78731,E-RES,"1 FAM DWELLING, ACCESSORY DWELLING UNIT",123,345594.15625
-1238,78730,E-SEC1,SINGLE FAMILY,45,129012.8359375
-1237,78730,E-RES,SINGLE FAMILY,2235,7773592.0
-1236,78730,E-RES,"1 FAM DWELLING, ACCESSORY DWELLING UNIT",40,161795.828125
-1235,78729,E-SEC1,SINGLE FAMILY,17,18418.5
-1234,78729,E-RES,SINGLE FAMILY,6053,12302433.0
-1233,78729,E-SEC2,MULTIFAMILY,22,355617.59375
-1232,78729,E-SEC1,MULTIFAMILY,334,4287848.0
-1231,78729,E-RES,MULTIFAMILY,5457,5464687.0
-1230,78729,E-RES,DUPLEX,790,837246.6875
-1229,78729,E-SEC2,COMMERCIAL IMPROVED,50,270145.34375
-1228,78729,E-SEC1,COMMERCIAL IMPROVED,80,134369.046875
-1227,78728,E-SEC2,WAREHOUSE <20000,30,114298.953125
-1226,78728,E-SEC1,WAREHOUSE <20000,56,122838.2109375
-1225,78728,E-RES,SINGLE FAMILY,1523,2336564.0
-1224,78728,E-RES,DUPLEX,154,154376.0
-1223,78727,E-RES,TOWNHOMES,371,479741.5
-1222,78727,E-SEC1,SINGLE FAMILY,25,36284.0
-1221,78727,E-RES,SINGLE FAMILY,6541,11793395.0
-1220,78727,E-SEC3,OFFICE LG >35000,21,1510647.0
-1219,78727,E-SEC2,OFFICE LG >35000,30,733688.875
-1218,78727,E-SEC1,OFFICE LG >35000,36,370702.84375
-1217,78727,E-SEC2,MULTIFAMILY,19,204602.796875
-1216,78727,E-SEC1,MULTIFAMILY,368,4936353.5
